NAME,SITENAME,LAT,LONG,IMAGE_DATE,SITE_ID,ALL_ID,TYPE,BODY,LOWER_BOUND,LOWER_BOUND_DEFECT,STABILIZED,DEGRADED_USE,I0,AREA_M2,RADIUS_M,DIST_DOWNWIND_M,TOT_DUNE,CREST_LENGTH,NUM_INT,LAMBDA_M,SLIP_M,Ld_M,stoss,AZIMUTH_MEAN,H,qm,qa,RDP_DP,q,Tt,Mr,I_M2,Istar
Nili Patera North,Nili Patera North,8.779273,67.126064,NaN,1,1,Crescentic,MARS,N,N,N,N,N,18460000,2420,0,77,36.137,3,536.6,61,367.7,0.114830018,5.2504,35.21836642,0.000811781,3.047651009,0.669,2.684688171,1688.251066,0.217799359,1.63E-07,0.046794078
Nili Patera South,Nili Patera South,8.668679,67.239114,NaN,1,2,Crescentic,MARS,N,N,N,N,N,21950000,2640,0,95,51.399,7,515.3,58,329,0.12356574,5.6024,33.48631561,0.000811781,3.047651009,0.669,1.915330464,2013.203108,0.163421166,3.19E-07,0.084680575
Olympia Undae 3,Olympia Undae 4,75.386249,-69.067708,NaN,1,3,Crescentic,MARS,N,N,Y,N,N,4820000,1240,0,123,12.733,8,285.5,13.3,118.8,0.072784442,1.23,7.67875858,0.000473383,5.560921106,0.248,1.457823851,219.013279,0.542432863,1.66E-06,0.135286722
Kaiser Crater,Kaiser Crater,-46.557466,19.029584,NaN,1,4,Crescentic,MARS,N,N,N,N,N,17580000,2370,0,46,30.542,1,601.3,85.6,354.2,0.183995469,1.6832,49.42118304,0.001380296,5.997915846,0.71,6.850145618,894.3961784,0.39602137,5.69E-08,0.020566649
Rabe Crater 1,Rabe Crater 2,-43.682177,34.610695,NaN,1,5,Crescentic,MARS,N,N,N,N,N,68790000,4680,0,64,104.313,18,985.6,133.4,1104.8,0.079286109,4.1393,77.01852591,0.001248646,5.928718657,0.588,4.191644522,7104.973582,0.155496708,2.62E-07,0.25418422
Lyot Crater,Lyot Crater,50.133281,28.67844,NaN,1,6,Crescentic,MARS,N,N,N,N,N,7150000,1510,0,56,35.289,13,323.1,12.4,253.7,0.029669057,2.0253,7.159143338,0.000707807,6.190752499,0.266,1.522025829,417.664484,0.607425361,1.82E-06,0.189806564
Rabe Crater 2,Rabe Crater 2,-43.638739,34.853034,NaN,1,7,Crescentic,MARS,N,N,N,N,N,83200000,5150,0,60,93.008,13,1167.6,184.7,1207.3,0.10427987,3.7295,106.6365947,0.001248646,5.928718657,0.588,3.942262344,11429.94107,0.105626091,1.56E-07,0.213014025
Moreaux Crater,Moreaux Crater,41.333537,44.648563,NaN,1,8,Crescentic,MARS,N,N,N,N,N,5890000,1370,0,81,17.31,3,290.8,23.5,202.7,0.075712786,1.6391,13.56773133,0.003234055,0.609737092,0.645,9.346747513,102.9837061,1.968272532,5.09E-07,0.043071973
Hargraves Crater N,Hargraves Crater N,20.81162,75.592179,NaN,1,9,Crescentic,MARS,N,N,N,N,N,3860000,1110,0,53,19.569,1,246.8,31.6,208.5,0.103133231,4.0687,18.24426851,0.000108884,2.869981918,0.265,0.393719766,3381.530749,0.061658466,2.59E-07,0.015779855
Hargraves Crater S,Hargraves Crater S,20.720215,75.537843,NaN,1,10,Crescentic,MARS,N,N,N,N,N,7410000,1540,0,70,27.511,7,320.6,37,263.4,0.094354947,4.1852,21.36195996,0.000108884,2.869981918,0.265,0.391741453,5027.190958,0.052395066,9.45E-07,0.097097236
