Lat,Lon,NAME,LENGTH_M
-3.404762271,-156.0772028,SHANGRILA,173516.155
-3.040562066,-157.0425134,SHANGRILA,87663.62649
-3.277847184,-156.522543,SHANGRILA,66231.33551
-3.88741201,-155.4957588,SHANGRILA,135188.2544
-3.108333609,-157.2366516,SHANGRILA,63941.0222
-3.312632157,-156.7559493,SHANGRILA,48054.16425
-3.371165993,-156.589051,SHANGRILA,14872.19208
-3.026182668,-157.6104973,SHANGRILA,43118.46416
-3.365253053,-156.917075,SHANGRILA,34571.52569
-3.298638843,-157.3596509,SHANGRILA,63735.52186
-3.199081039,-157.4375682,SHANGRILA,14119.21519
-3.808965284,-156.5700614,SHANGRILA,88467.98492
-3.540772478,-156.7472901,SHANGRILA,46914.98862
-2.632291399,-157.6052998,SHANGRILA,19238.53083
-3.252964141,-156.2250244,SHANGRILA,118825.5837
-3.892655032,-155.2006721,SHANGRILA,57361.4337
-2.501670369,-157.2340827,SHANGRILA,16683.72245
-2.607413718,-157.3943113,SHANGRILA,38340.78226
-2.68726998,-156.8997782,SHANGRILA,14199.57448
-2.964975422,-156.3853955,SHANGRILA,65615.80023
-3.223195379,-156.0973618,SHANGRILA,48123.07482
-3.963909481,-154.3330746,SHANGRILA,181054.6401
-4.287361726,-153.0443084,SHANGRILA,33021.79656
-3.5673464,-156.4818828,SHANGRILA,20542.93719
-3.676877781,-155.0796153,SHANGRILA,131871.56
-3.142884728,-155.877484,SHANGRILA,103932.2042
-3.53145499,-155.117753,SHANGRILA,198727.2823
-4.18150757,-152.551859,SHANGRILA,62369.53575
-4.341867142,-152.2264002,SHANGRILA,26079.28595
-3.99079255,-153.7644372,SHANGRILA,136061.9276
-3.795843094,-154.3926483,SHANGRILA,48283.23871
-4.002110042,-153.1247747,SHANGRILA,84131.50307
-4.411552918,-152.1386367,SHANGRILA,16477.76254
-4.118044165,-152.9192082,SHANGRILA,82715.54007
-3.996127411,-153.4344867,SHANGRILA,40041.0622
-4.159648208,-153.0137088,SHANGRILA,66870.91274
-4.008549835,-154.4656755,SHANGRILA,29809.16513
-4.165424604,-153.5340036,SHANGRILA,74575.53639
-4.178516005,-153.9082341,SHANGRILA,37374.47691
-4.225987571,-153.8665527,SHANGRILA,56370.25032
-3.98534157,-154.6996279,SHANGRILA,30744.99704
-4.289772806,-153.7923637,SHANGRILA,86425.43061
-4.342933477,-153.2303025,SHANGRILA,39214.46267
-3.412871537,-155.7459904,SHANGRILA,18549.99315
-3.78293018,-154.9930681,SHANGRILA,21291.62839
-3.542471779,-154.7931796,SHANGRILA,103308.2158
-3.882439273,-153.1657326,SHANGRILA,122686.1243
-2.581832211,-156.778614,SHANGRILA,12566.83135
-3.265154336,-155.2116263,SHANGRILA,166314.6575
-3.315600698,-155.3726066,SHANGRILA,25877.66944
-3.585864318,-154.4041706,SHANGRILA,96919.94977
-3.956288692,-152.8566747,SHANGRILA,106499.8137
-3.247381182,-155.1978135,SHANGRILA,130546.8436
-3.784791148,-153.0711454,SHANGRILA,44568.53815
-4.334935065,-151.7361567,SHANGRILA,151602.8802
-2.640093886,-156.5139876,SHANGRILA,19053.52414
-3.021796754,-155.546778,SHANGRILA,118174.5223
-3.558984906,-153.5737431,SHANGRILA,119270.4505
-2.623982041,-156.3276877,SHANGRILA,16309.26955
-3.024862654,-154.9349307,SHANGRILA,135855.4289
