NAME,LAT,LONG,CENTER,LAMBDA_M,RHO,RHO_0,DELTA_RHO
BELET,-17.68493292,92.34078199,1,2943.455194804712,1.1284146006e-05,1.550244097e-06,7.278947895781356
BELET,-17.68493292,94.56586080704064,1,4208.261972992565,4.864533312e-06,6.966885e-07,6.982364877443954
BELET,-17.68493292,96.79093962,1,3843.669728648239,8.807450952e-06,8.53295131e-07,10.32169366623662
BELET,-17.68493292,99.01601843912471,1,3935.584462215991,1.5115695622e-05,8.0934822e-07,18.67638087460689
BELET,-17.68493292,101.24109725516676,1,4935.9288038664845,4.3255686706e-05,4.87591022e-07,88.71304999
BELET,-17.68493292,103.46617607120876,1,3089.464494951145,2.8147895407e-05,1.391088965e-06,20.234432250018937
SHANGRILA,-17.68493292,156.86806765621753,1,3063.2426222190647,3.2268545909e-05,1.417874234e-06,22.75839784058264
FENSAL,-17.68493292,314.84866359520174,1,8096.751899335448,3.4080279183e-05,1.61110223e-07,211.53393365091443
FENSAL,-17.68493292,317.0737424112438,1,6168.940290974168,2.8919177392e-05,2.96055028e-07,97.68176401502959
FENSAL,-17.68493292,319.2988212272858,1,7004.805906,2.0259628037e-05,2.2278954e-07,90.93617239852851
BELET,-15.4598541,96.79093962,1,4610.320897791891,1.1784945108e-05,5.68028498e-07,20.74710186130634
BELET,-15.4598541,99.01601843912471,1,5071.1864632854495,2.1447163005e-05,4.58971692e-07,46.72872723471504
BELET,-15.4598541,101.24109725516676,1,4910.827105,3.6334894548e-05,4.93185237e-07,73.67392983241184
BELET,-15.4598541,103.46617607120876,1,5650.709140234694,3.4239054045e-05,3.60278401e-07,95.03498952482865
BELET,-15.4598541,112.3664913353769,1,4969.12125,1.0541147571e-05,4.80333628e-07,21.945470701534845
SHANGRILA,-15.4598541,170.21854055246973,1,3188.468013305525,1.4165722476e-05,1.29629461e-06,10.927857270315698
FENSAL,-15.4598541,314.84866359520174,1,5864.296287489489,2.2115052609e-05,3.3157784e-07,66.69641313016729
FENSAL,-15.4598541,317.0737424112437,1,3616.8130834954063,1.0446188173e-05,9.77718908e-07,10.684244817122217
FENSAL,-15.4598541,319.2988212272858,1,5646.556749075096,2.515789249e-05,3.60871481e-07,69.71427174758124
SENKYO,-13.23477528,56.739520934326094,1,4437.049054750851,7.550927691e-06,6.18864035e-07,12.201270822963233
SENKYO,-13.23477528,58.96459975036812,1,4915.904423116884,8.838112505e-06,4.9204623e-07,17.96195553843186
BELET,-13.23477528,99.01601843912471,1,2611.170948577915,4.1688282187e-05,2.026747234e-06,20.569058380545805
BELET,-13.23477528,101.24109725516676,1,3855.840206425949,3.0621253639e-05,8.47280595e-07,36.14062897444719
BELET,-13.23477528,103.46617607120876,1,4545.457766621939,3.1371025875e-05,5.86325313e-07,53.50447127182554
BELET,-13.23477528,112.36649133537688,1,5059.222363367001,1.5079111937e-05,4.61403786e-07,32.68094540645367
SHANGRILA,-13.23477528,170.21854055246973,1,4214.721665985845,1.4560631767e-05,6.94301608e-07,20.971623270326848
SHANGRILA,-13.23477528,208.04488042518423,1,3501.579065679361,2.6931729783e-05,1.051182265e-06,25.620418723172488
SHANGRILA,-13.23477528,210.26995924122627,1,2932.7865852686364,5.196618329e-06,1.562890505e-06,3.325004734710078
FENSAL,-13.23477528,314.84866359520174,1,6308.4186767076935,1.6018303349e-05,2.81608945e-07,56.88137262241733
SENKYO,-11.00969647,56.739520934326094,1,3838.118423031908,4.543894006e-06,8.56059065e-07,5.307921137937345
SENKYO,-11.00969647,58.96459975036812,1,3237.182851,3.623632358e-06,1.253052898e-06,2.891843085691761
BELET,-11.00969647,99.01601843912471,1,5865.578590399823,3.4039035093e-05,3.3141567e-07,102.70798313254097
BELET,-11.00969647,101.24109725516676,1,3425.9194763449073,1.6892398811e-05,1.103836395e-06,15.303353731649976
BELET,-11.00969647,103.46617607120876,1,3066.0241839170817,1.6709831802e-05,1.414997697e-06,11.80908763424782
BELET,-11.00969647,105.6912548872508,1,2915.592603339636,1.4723742647e-05,1.583588286e-06,9.297708741472425
BELET,-11.00969647,107.91633370329284,1,3033.0667304505323,2.0776507104e-05,1.449631732e-06,14.332265665398497
BELET,-11.00969647,110.14141251933488,1,3120.9344060736044,2.1534447402e-05,1.359899143e-06,15.835326837847845
BELET,-11.00969647,112.36649133537688,1,4104.544798833796,2.3190678113e-05,7.3669572e-07,31.479317013995136
BELET,-11.00969647,114.59157015141892,1,3169.924638677516,1.6325111889e-05,1.313323111e-06,12.43038498944052
SHANGRILA,-11.00969647,170.21854055246973,1,1898.128630715204,1.7409145879e-05,4.137280488e-06,4.207871795857137
SHANGRILA,-11.00969647,199.14456516101612,1,2892.243302575064,2.9409262393e-05,1.612336426e-06,18.24015257
SHANGRILA,-11.00969647,201.36964397705816,1,2423.0570723974174,2.2897889334e-05,2.395824115e-06,9.557416669049868
SHANGRILA,-11.00969647,203.59472279310023,1,3862.3461946248185,4.9365472031e-05,8.4409053e-07,58.48362262
SHANGRILA,-11.00969647,205.81980160914225,1,3709.7892874431495,4.1911707608e-05,9.23739795e-07,45.37176791428062
SHANGRILA,-11.00969647,208.04488042518423,1,4776.3648961673925,3.8753543296e-05,5.24792879e-07,73.84540620842785
SHANGRILA,-11.00969647,210.26995924122627,1,3715.282349925004,2.4630578692e-05,9.20686717e-07,26.75239931405868
FENSAL,-11.00969647,314.84866359520174,1,7356.704400586746,2.6087080533e-05,1.99647873e-07,130.665457
FENSAL,-11.00969647,323.7489788593699,1,3580.6913785473553,1.5464768763e-05,9.99925553e-07,15.465920156176542
FENSAL,-11.00969647,325.9740576754119,1,3015.8380960599666,1.388904295e-05,1.468226753e-06,9.459739731
FENSAL,-11.00969647,328.19913649145394,1,3785.5984593485714,2.2179457507e-05,8.82861417e-07,25.12224126177168
SENKYO,-8.784617652,54.51444211828407,1,4745.930508750248,4.0815325058e-05,5.32352758e-07,76.66969779
SENKYO,-8.784617652,56.739520934326094,1,4073.1364236935583,2.4872247284e-05,7.49467051e-07,33.18657872
SENKYO,-8.784617652,58.96459975036813,1,3690.384381889096,1.5503145268e-05,9.34643245e-07,16.587232995534823
BELET,-8.784617652,99.01601843912472,1,4120.683669958853,1.7017647893e-05,7.30255486e-07,23.303690590956712
BELET,-8.784617652,101.24109725516676,1,2820.3144410753534,8.910984015e-06,1.705799012e-06,5.223935500476139
BELET,-8.784617652,103.46617607120876,1,2717.2976458264006,1.0325731054e-05,1.85390114e-06,5.569731218
BELET,-8.784617652,105.69125488725082,1,2586.126614292149,1.4870228032e-05,2.070926538e-06,7.180471039859547
BELET,-8.784617652,107.91633370329284,1,2515.9928360412523,1.6082667691e-05,2.202324456e-06,7.302587792390061
BELET,-8.784617652,110.14141251933488,1,2642.957285003593,7.881535225e-06,1.972612982e-06,3.995479751406671
BELET,-8.784617652,112.36649133537692,1,3988.297857668964,1.6152606324e-05,7.85608842e-07,20.56062186200936
BELET,-8.784617652,114.59157015141892,1,4625.543718255665,2.4977936079e-05,5.63854229e-07,44.298570109329134
BELET,-8.784617652,116.81664896746096,1,3780.186066925592,1.2852632628e-05,8.85692263e-07,14.511397655624227
BELET,-8.784617652,119.0417278,1,3504.5510560042167,2.2784168003e-05,1.04918871e-06,21.715986626462136
BELET,-8.784617652,121.26680659954503,1,4334.153979166555,1.8809315904e-05,6.52221531e-07,28.83884539235095
BELET,-8.784617652,123.49188541558703,1,4081.395188478359,2.9001852268e-05,7.46078001e-07,38.87241313318673
SHANGRILA,-8.784617652,170.21854055246973,1,2826.6224867772694,9.603093098e-06,1.697293158e-06,5.657887120341908
SHANGRILA,-8.784617652,172.44361936851175,1,3102.8387840839728,6.928885658e-06,1.377708536e-06,5.029282664836886
SHANGRILA,-8.784617652,199.14456516101612,1,2638.3919387188967,2.5196643015e-05,1.980258451e-06,12.723916419070276
SHANGRILA,-8.784617652,201.36964397705816,1,2492.1908828757087,2.7164880623e-05,2.24966535e-06,12.075076244071417
SHANGRILA,-8.784617652,203.59472279310023,1,3296.4311484359664,3.9227530666e-05,1.203220199e-06,32.60212113056548
SHANGRILA,-8.784617652,205.81980160914225,1,2634.986255653813,3.2342143145e-05,1.985989815e-06,16.285150559270043
SHANGRILA,-8.784617652,208.04488042518423,1,3577.828254702594,4.2438765573e-05,1.001716845e-06,42.36602967799532
SHANGRILA,-8.784617652,210.26995924122633,1,2424.195641023859,2.7309937739e-05,2.393307115e-06,11.410962501175437
SENKYO,-6.559538836,54.51444211828407,1,3216.192460752899,1.7961736045e-05,1.271425137e-06,14.127246290281375
BELET,-6.559538836,70.08999383,1,3348.181492035634,1.3763201048e-05,1.162006256e-06,11.844343329301228
BELET,-6.559538836,78.99030909,1,4176.516091912468,1.9279104968e-05,7.08593075e-07,27.207583101505637
BELET,-6.559538836,81.21538791078844,1,4002.590742681255,2.3955031244e-05,7.79345765e-07,30.737359891600896
BELET,-6.559538836,83.44046672683046,1,4039.7088329484254,1.153604088e-05,7.63414345e-07,15.111113580801565
BELET,-6.559538836,85.66554554287251,1,4534.428156811465,2.6958810559e-05,5.89521209e-07,45.73000964
BELET,-6.559538836,87.89062435891455,1,2706.8152364171788,1.6459226806e-05,1.870003585e-06,8.801708689430521
BELET,-6.559538836,90.11570317495656,1,2625.241916618182,1.0762493393e-05,2.002521598e-06,5.374470569818606
BELET,-6.559538836,92.34078199,1,3267.567327,1.1820403275e-05,1.227131672e-06,9.632546810814691
BELET,-6.559538836,94.56586080704064,1,2078.2244112115827,9.815066306e-06,3.377783002e-06,2.905771714356264
BELET,-6.559538836,96.79093962,1,2724.755397046468,1.6704588826e-05,1.842566857e-06,9.065933622891992
BELET,-6.559538836,99.01601843912471,1,2794.0462799929255,1.083537077e-05,1.741890757e-06,6.220465160519236
BELET,-6.559538836,101.24109725516676,1,2448.7599869018654,6.619302673e-06,2.339922194e-06,2.828855886157961
BELET,-6.559538836,114.59157015141894,1,2858.749613961777,1.0577373572e-05,1.654910526e-06,6.391507821772893
SHANGRILA,-6.559538836,150.19283120809143,1,4168.108024779926,3.8446554188e-05,7.11795352e-07,54.01349427071733
SHANGRILA,-6.559538836,172.44361936851175,1,3653.302846945729,1.4256499037e-05,9.56003288e-07,14.912604605840937
SHANGRILA,-6.559538836,174.6686981845538,1,3302.894231253628,1.75219439e-06,1.197958486e-06,1.462650343
SHANGRILA,-6.559538836,192.46932871289005,1,2374.3963226164014,1.320643309e-05,2.507080477e-06,5.267654234771673
SHANGRILA,-6.559538836,203.5947227931002,1,2873.264888826405,3.3605770851e-05,1.636262707e-06,20.53812673864996
SHANGRILA,-6.559538836,205.81980160914225,1,3177.1606046366774,2.7505791322e-05,1.306639985e-06,21.05078034540917
SHANGRILA,-6.559538836,208.04488042518423,1,3615.2888358777486,4.6210975366e-05,9.78641485e-07,47.21951405
SHANGRILA,-6.559538836,210.26995924122633,1,3892.525241716925,5.297188729e-05,8.29517864e-07,63.85864560605208
SHANGRILA,-6.559538836,212.49503805726832,1,2310.310242818139,2.102382321e-05,2.665362482e-06,7.887791379570133
FENSAL,-6.559538836,321.52390004332784,1,3312.6878601854446,1.2422579476e-05,1.19004855e-06,10.43871653
SENKYO,-4.33446002,54.51444211828407,1,3288.391877736119,3.2262402274e-05,1.209811905e-06,26.667287823434524
BELET,-4.33446002,72.31507264662032,1,4262.277100164744,1.3987797363e-05,6.77088323e-07,20.658748490515816
BELET,-4.33446002,74.54015146266235,1,11129.949295004952,3.5849942643e-05,7.9056955e-08,453.46981518283434
BELET,-4.33446002,76.76523027870435,1,4863.090283814209,3.5240306688e-05,5.0408322e-07,69.90970000505179
BELET,-4.33446002,78.99030909,1,5217.846557,2.2537798876e-05,4.30607701e-07,52.33951645938727
BELET,-4.33446002,90.11570317495656,1,7415.777298692421,2.6969126015e-05,1.96106963e-07,137.52253132822906
BELET,-4.33446002,92.34078199,1,3679.067845828497,1.8613885331e-05,9.41088062e-07,19.77911109865188
BELET,-4.33446002,94.56586080704064,1,5669.007590546335,4.4319792742e-05,3.57681589e-07,123.90851008537298
BELET,-4.33446002,96.79093962,1,2608.446717623453,1.2986970122e-05,2.031486436e-06,6.392841169677063
BELET,-4.33446002,99.01601843912471,1,2790.57723,8.571819275e-06,1.746739559e-06,4.907325325384203
BELET,-4.33446002,101.24109725516676,1,2970.0411138381887,1.1285712457e-05,1.519366608e-06,7.427906073846152
BELET,-4.33446002,114.59157015141892,1,2666.162382352777,3.6087753863e-05,1.934404638e-06,18.655742009818447
SHANGRILA,-4.33446002,145.7426735760074,1,2959.6440782054165,3.6104283459e-05,1.531335085e-06,23.576997485228205
SHANGRILA,-4.33446002,147.96775239204942,1,3581.461109626299,8.8927965264e-05,9.99444767e-07,88.97736843973837
SHANGRILA,-4.33446002,150.19283120809143,1,3124.1328661813423,3.4191706438e-05,1.356785951e-06,25.20051628029564
SHANGRILA,-4.33446002,203.59472279310023,1,2355.451386,3.6139474839e-05,2.552423207e-06,14.158888207097968
SHANGRILA,-4.33446002,205.81980160914225,1,2610.702082258067,2.3402168109e-05,2.027561756e-06,11.542024818476516
SHANGRILA,-4.33446002,208.04488042518423,1,2427.6505511273144,1.5929381501e-05,2.385692823e-06,6.677046326617103
SHANGRILA,-4.33446002,210.26995924122627,1,3053.6964899393247,1.5447271599e-05,1.427810925e-06,10.818849562101876
SHANGRILA,-4.33446002,212.49503805726837,1,2318.2347779043553,3.2803022107e-05,2.645019417e-06,12.401807677642314
FENSAL,-4.33446002,321.52390004332784,1,5083.8016018117005,1.6702906148e-05,4.56427293e-07,36.59488904
BELET,-2.109381204,76.76523027870435,1,3821.067472444742,1.0488230762e-05,8.64630007e-07,12.130310859328628
BELET,-2.109381204,78.99030909,1,3774.5001474779383,6.851652129e-06,8.8868034e-07,7.709917525771007
BELET,-2.109381204,94.56586080704064,1,3556.277897563604,5.374564224e-06,1.015349891e-06,5.293312452683122
BELET,-2.109381204,96.79093962,1,3212.9613647514234,1.0654694628e-05,1.274287787e-06,8.361293840584503
BELET,-2.109381204,99.01601843912471,1,3589.6562909881245,1.5756445523e-05,9.94346604e-07,15.84602940657414
BELET,-2.109381204,101.24109725516676,1,3799.7223209989143,1.1635135689e-05,8.75535576e-07,13.289163810102789
BELET,-2.109381204,114.59157015141892,1,3865.045552178826,3.2801676431e-05,8.42772061e-07,38.92117212
SHANGRILA,-2.109381204,147.96775239204942,1,3293.252520108089,5.7762733805e-05,1.205820252e-06,47.90327059633952
SHANGRILA,-2.109381204,150.19283120809143,1,3259.322171,2.8344243187e-05,1.234088403e-06,22.967757506523817
SHANGRILA,-2.109381204,152.41791002413348,1,2686.0518707567276,2.5044634522e-05,1.902502015e-06,13.164051511017348
SHANGRILA,-2.109381204,154.64298884017552,1,2912.9702430890948,2.8190760432e-05,1.586779849e-06,17.76601867
SHANGRILA,-2.109381204,156.86806765621753,1,2814.326635651925,2.6041020193e-05,1.713930229e-06,15.193745788342888
SHANGRILA,-2.109381204,159.09314647225955,1,3223.004949368787,3.252443934e-05,1.265419896e-06,25.702487712382993
SHANGRILA,-2.109381204,205.81980160914225,1,2374.8475739711034,1.8527278603e-05,2.506014708e-06,7.393124447779214
SHANGRILA,-2.109381204,208.04488042518423,1,2836.145231112719,2.0702368498e-05,1.684568369e-06,12.289420176929887
SHANGRILA,-2.109381204,210.26995924122627,1,2744.351780481842,2.2915337367e-05,1.813257894e-06,12.637660337204286
SHANGRILA,-2.109381204,212.49503805726837,1,2955.3583315367537,3.6655184082e-05,1.536308323e-06,23.85926284366948
SHANGRILA,-2.109381204,214.7201168733104,1,3759.725308921183,4.7098712007e-05,8.96513379e-07,52.535425682357854
FENSAL,0.115697612,1.112550533275297,1,5008.640098725115,1.2791667205e-05,4.71895106e-07,27.10701389977167
BELET,0.115697612,76.76523027870435,1,3022.0826290873624,5.893061127e-06,1.461447306e-06,4.032345951669515
BELET,0.115697612,78.99030909,1,2727.9648239125822,3.768610723e-06,1.837720016e-06,2.050699066839415
BELET,0.115697612,94.56586080704064,1,3995.278238,1.7302599719e-05,7.82541008e-07,22.11078977751489
BELET,0.115697612,96.79093962,1,2735.690896657168,1.7203707301e-05,1.826127579e-06,9.420868233423857
BELET,0.115697612,114.59157015141892,1,4235.4266,3.2333189241e-05,6.86730268e-07,47.08280784974443
SHANGRILA,0.115697612,147.96775239204942,1,3722.865355,1.3909469557e-05,9.16495971e-07,15.17679291223372
SHANGRILA,0.115697612,150.19283120809143,1,3701.8151498884263,2.0801654173e-05,9.28198003e-07,22.410793939951606
SHANGRILA,0.115697612,152.41791002413348,1,4194.672065251437,2.1403781342e-05,7.01748961e-07,30.500624183839825
SHANGRILA,0.115697612,154.64298884017552,1,3179.0864657754423,1.8922149926e-05,1.304869555e-06,14.501181249540936
SHANGRILA,0.115697612,156.86806765621753,1,2830.985439328145,2.2223145375e-05,1.691445951e-06,13.138548922622851
SHANGRILA,0.115697612,159.09314647225955,1,2913.9752232885057,2.469642051e-05,1.585555631e-06,15.57587764202583
SHANGRILA,0.115697612,205.81980160914225,1,2674.6788118386025,2.0996228673e-05,1.920650289e-06,10.931833240717587
SHANGRILA,0.115697612,208.04488042518423,1,2545.5843301115924,2.9274219796e-05,2.145453361e-06,13.64477099763046
SHANGRILA,0.115697612,210.26995924122627,1,2864.760836609986,4.9130648348e-05,1.647150774e-06,29.82765702834647
SHANGRILA,0.115697612,212.49503805726837,1,3047.2942331616655,4.9539643251e-05,1.434531659e-06,34.53367022434497
SHANGRILA,0.115697612,214.7201168733104,1,2495.2579771138276,3.9036475242e-05,2.243482877e-06,17.399943474341857
SHANGRILA,0.115697612,216.9451956893524,1,2799.3068001916718,3.4802929683e-05,1.73457504e-06,20.064239879332217
FENSAL,0.115697612,323.7489788593699,1,4341.711165515961,1.8535406193e-05,6.49684128e-07,28.529873803386927
FENSAL,0.115697612,325.9740576754119,1,3216.724161306625,1.700947073e-05,1.270954958e-06,13.383220719535087
FENSAL,0.115697612,328.19913649145394,1,4126.076623652717,2.1249150321e-05,7.28121577e-07,29.183519627424623
SENKYO,2.340776428371468,5.562708165359384,1,2931.14637,8.851895308e-06,1.564848021e-06,5.656712467245223
BELET,2.340776428371468,76.76523027870435,1,4782.407843,1.3458618401e-05,5.23310314e-07,25.718236447535173
BELET,2.340776428371468,78.99030909,1,3390.708692198923,7.67170158e-06,1.129649297e-06,6.791224144
BELET,2.340776428371468,81.21538791078844,1,4139.023236970377,1.5954918572e-05,7.23035486e-07,22.06657748822892
BELET,2.340776428371468,94.56586080704064,1,4835.898651208792,2.1591956872e-05,5.10447253e-07,42.30007460752383
BELET,2.340776428371468,114.59157015141894,1,3305.2497854632497,1.5837220116e-05,1.196049063e-06,13.241279646854146
SHANGRILA,2.340776428371468,150.19283120809143,1,4301.100009268536,2.1224138688e-05,6.6348997e-07,31.988635338211864
SHANGRILA,2.340776428371468,152.41791002413348,1,3662.5647280135927,1.0555462299e-05,9.50602509e-07,11.103970581952565
SHANGRILA,2.340776428371468,154.6429888401755,1,3424.347965052625,1.5021060867e-05,1.10497018e-06,13.594087100718903
SHANGRILA,2.340776428371468,156.86806765621753,1,3717.4767443273554,1.1488197776e-05,9.19471139e-07,12.494353858621944
SHANGRILA,2.340776428371468,159.09314647225955,1,2962.101305,1.4302256231e-05,1.528494187e-06,9.357089055
SHANGRILA,2.340776428371468,161.3182252883016,1,2477.8669866497958,1.6122254785e-05,2.278867543e-06,7.074678312123186
SHANGRILA,2.340776428371468,163.54330410434363,1,2424.1480931724245,1.4230452711e-05,2.393412151e-06,5.945675802715668
SHANGRILA,2.340776428371468,165.76838292038565,1,2565.4854673874247,1.6441854091e-05,2.108393635e-06,7.798284824555664
SHANGRILA,2.340776428371468,167.9934617364277,1,2627.0751384358464,1.4202453516e-05,1.999396273e-06,7.103371007974497
SHANGRILA,2.340776428371468,170.2185405524697,1,2595.427916531556,1.6610738666e-05,2.054357446e-06,8.085612704705603
SHANGRILA,2.340776428371468,172.44361936851175,1,2402.489461281145,1.2372820726e-05,2.44195973e-06,5.066758707821514
SHANGRILA,2.340776428371468,174.6686981845538,1,3092.0574722089905,1.8643967676e-05,1.388480147e-06,13.427608393881592
SHANGRILA,2.340776428371468,205.81980160914225,1,2957.070644697027,4.5547469972e-05,1.534318533e-06,29.685797965597214
SHANGRILA,2.340776428371468,208.0448804251843,1,3440.850760109695,4.685905265e-05,1.093147524e-06,42.86617460691303
SHANGRILA,2.340776428371468,210.26995924122627,1,2708.406519447808,3.5023347944e-05,1.867546155e-06,18.753671947965824
SHANGRILA,2.340776428371468,212.49503805726832,1,3691.260060706036,5.1071274395e-05,9.34147206e-07,54.67154861046095
SHANGRILA,2.340776428371468,214.7201168733104,1,3521.879725142817,2.9955449414e-05,1.037673187e-06,28.867903474688543
SHANGRILA,2.340776428371468,216.9451956893524,1,3663.472633046624,3.5706856541e-05,9.5007547e-07,37.58317908633975
SHANGRILA,2.340776428371468,219.1702745053944,1,2782.514823226345,3.4085806585e-05,1.758084351e-06,19.38803821798302
SHANGRILA,2.340776428371468,221.3953533214365,1,3225.5723124221167,3.6462788121e-05,1.263167399e-06,28.866156731484505
SHANGRILA,2.340776428371468,223.62043213747845,1,2686.7864159171213,4.2388636361e-05,1.901338425e-06,22.294103886824328
FENSAL,2.340776428371468,323.7489788593699,1,5159.9775385655175,2.8612539673e-05,4.41488207e-07,64.80929553777887
FENSAL,2.340776428371468,325.9740576754119,1,3372.062396824485,1.6523105744e-05,1.143673806e-06,14.447393701463072
FENSAL,2.340776428371468,328.19913649145394,1,5532.875120155606,2.7764223253e-05,3.77673069e-07,73.51390804781758
FENSAL,2.340776428371468,330.42421530749596,1,6907.4347674472465,4.2582264694e-05,2.29877922e-07,185.23860140078844
FENSAL,2.340776428371468,332.6492941,1,4456.314574221059,3.1230351073e-05,6.12893678e-07,50.95557711586502
BELET,4.565855244413494,76.76523027870435,1,3714.7452495656735,9.256399494e-06,9.20984596e-07,10.05054757
BELET,4.565855244413494,78.99030909,1,2907.2982098439766,6.407618136e-06,1.593714953e-06,4.020554696039966
BELET,4.565855244413494,81.21538791078844,1,3349.024023866275,1.0722698481e-05,1.161352265e-06,9.232942326
BELET,4.565855244413494,94.56586080704064,1,4390.165360103015,2.3510685698e-05,6.33749484e-07,37.097759145930205
BELET,4.565855244413494,114.59157015141892,1,3062.5441477966574,8.713253969e-06,1.418597887e-06,6.142159134183708
SHANGRILA,4.565855244413494,170.21854055246973,1,3697.640535602916,3.1556694021e-05,9.30544384e-07,33.91207830107599
SHANGRILA,4.565855244413494,172.44361936851175,1,3982.6866512586976,1.8285261792e-05,7.88087565e-07,23.202068672034425
SHANGRILA,4.565855244413494,214.7201168733104,1,3691.956586654525,4.3720450233e-05,9.33752923e-07,46.822290092777095
SHANGRILA,4.565855244413494,216.9451956893524,1,3491.700048415995,3.2606387524e-05,1.057848455e-06,30.823306851168724
FENSAL,4.565855244413494,323.7489788593699,1,2690.439374964776,3.6383886616e-05,1.895567052e-06,19.194196571706794
FENSAL,4.565855244413494,325.9740576754119,1,3117.5710391074576,3.5085237953e-05,1.363184008e-06,25.737712404990276
FENSAL,4.565855244413494,328.19913649145394,1,3610.115311,2.3465749519e-05,9.81782262e-07,23.901174848913005
FENSAL,4.565855244413494,330.42421530749596,1,3937.111313781412,2.7953490328e-05,8.08646097e-07,34.568262225196094
FENSAL,4.565855244413494,332.6492941,1,3288.260426610745,1.8743084432e-05,1.20992012e-06,15.49117509326356
FENSAL,4.565855244413494,334.87437293958004,1,4707.115952676464,2.3799139802e-05,5.42224957e-07,43.89163478778876
FENSAL,4.565855244413494,337.09945175562206,1,5959.108402366018,2.4322841284e-05,3.19889848e-07,76.03505217449795
FENSAL,4.565855244413494,339.32453057166407,1,4752.983475996501,2.1610678595e-05,5.30586845e-07,40.72976703789753
FENSAL,4.565855244413494,341.54960938770614,1,3245.2083201421433,1.8325030168e-05,1.246129881e-06,14.705553931548884
BELET,6.790934060455526,78.99030909,1,3396.771183961433,9.435127467e-06,1.125143084e-06,8.385713429999392
BELET,6.790934060455527,81.21538791078844,1,3835.7292007666497,2.4363365611e-05,8.57252621e-07,28.420287111854893
