NAME,LAT,LONG,LAMBDA_M,RHO,RHO_0,DELTA_RHO
SHANGRILA,-30.2010021,189.4098453,2539.905757,1.65E-05,2.16E-06,7.632568561
SHANGRILA,-30.2010021,189.966115,2029.41637,5.70E-06,3.56E-06,1.589040498
SHANGRILA,-27.4196529,181.0657998,3123.822891,2.38E-05,1.36E-06,17.53463737
SHANGRILA,-27.4196529,181.6220695,2635.593594,3.71E-05,1.98E-06,18.70807043
SHANGRILA,-27.4196529,182.1783392,2419.85691,3.12E-05,2.40E-06,12.97964286
SHANGRILA,-27.4196529,182.7346089,2667.438457,2.57E-05,1.93E-06,13.29757085
SHANGRILA,-26.8633823,181.0657998,2229.838101,2.06E-05,2.89E-06,7.130819582
SHANGRILA,-26.8633823,181.6220695,2919.562052,2.21E-05,1.58E-06,13.98775219
SHANGRILA,-26.8633823,182.1783392,2573.564924,3.52E-05,2.09E-06,16.81197788
SHANGRILA,-26.8633823,182.7346089,3798.923743,4.03E-05,8.76E-07,45.98363019
SHANGRILA,-26.3071136,179.3969907,4367.212942,3.10E-05,6.41E-07,48.37400114
SHANGRILA,-26.3071136,179.9532604,3280.444266,3.20E-06,1.22E-06,2.60252436
SHANGRILA,-26.3071136,180.5095301,2850.859297,3.36E-05,1.67E-06,20.18929133
SHANGRILA,-26.3071136,181.0657998,2841.626133,2.03E-05,1.68E-06,12.12333969
SHANGRILA,-26.3071136,181.6220695,3106.563872,3.98E-05,1.37E-06,28.96096273
SHANGRILA,-26.3071136,182.1783392,3667.848887,4.50E-05,9.48E-07,47.52872328
SHANGRILA,-25.750843,179.3969907,4184.046852,2.68E-05,7.06E-07,37.94287026
SHANGRILA,-25.750843,179.9532604,2626.86242,4.20E-06,2.00E-06,2.101743551
SHANGRILA,-25.750843,180.5095301,3267.780322,1.40E-05,1.23E-06,11.44694712
SHANGRILA,-25.750843,181.0657998,4009.093528,1.21E-05,7.77E-07,15.53847097
SHANGRILA,-25.750843,181.6220695,2748.519184,7.69E-05,1.81E-06,42.55267794
SHANGRILA,-25.750843,182.1783392,1890.115874,4.63E-05,4.18E-06,11.08049536
SHANGRILA,-25.1945744,179.9532604,2941.533773,1.41E-05,1.55E-06,9.094534231
SHANGRILA,-25.1945744,180.5095301,2691.078376,1.43E-05,1.89E-06,7.534873487
SHANGRILA,-25.1945744,181.0657998,2220.011371,7.90E-06,2.91E-06,2.694158501
SHANGRILA,-25.1945744,181.6220695,3044.23243,5.40E-06,1.44E-06,3.743928863
SHANGRILA,-25.1945744,182.1783392,3439.482381,1.83E-05,1.09E-06,16.73885065
SENKYO,-24.6383038,44.7797223,3901.64738,3.40E-06,8.25E-07,4.161452331
SHANGRILA,-24.6383038,180.5095301,3806.640946,2.11E-05,8.72E-07,24.17476227
SHANGRILA,-24.6383038,181.0657998,2707.561276,1.75E-05,1.87E-06,9.349014177
SENKYO,-24.0820351,45.335992,28159.94696,5.12E-05,9.91E-09,5169.286583
SENKYO,-20.1881466,20.30385532,7475.188615,4.19E-05,1.93E-07,217.3057351
SENKYO,-20.1881466,20.86012503,3493.409397,2.24E-05,1.06E-06,21.1583408
BELET,-20.1881466,101.5192321,4550.239351,2.18E-05,5.85E-07,37.33864266
SHANGRILA,-20.1881466,194.9725424,2596.754578,3.44E-05,2.05E-06,16.7468643
SHANGRILA,-20.1881466,195.5288121,3246.357271,2.23E-05,1.25E-06,17.88384533
SHANGRILA,-20.1881466,196.0850818,2606.302719,1.25E-05,2.04E-06,6.146857391
SHANGRILA,-20.1881466,196.6413515,2286.839846,6.70E-06,2.73E-06,2.454708667
FENSAL,-20.1881466,313.4579893,5170.203395,2.07E-05,4.40E-07,47.05138082
FENSAL,-20.1881466,314.014259,9106.757813,7.30E-06,1.24E-07,58.82496387
FENSAL,-20.1881466,314.5705287,8985.663151,2.16E-05,1.28E-07,168.9900769
FENSAL,-20.1881466,315.1267984,7738.194928,3.71E-05,1.78E-07,208.3260381
FENSAL,-20.1881466,315.6830682,5960.795882,1.91E-05,3.20E-07,59.66627203
SENKYO,-19.631876,16.9662371,4886.341045,1.56E-05,4.99E-07,31.35208035
SENKYO,-19.631876,19.74758562,3923.023253,3.10E-06,8.15E-07,3.850073404
SENKYO,-19.631876,20.86012503,7433.468871,1.19E-05,1.95E-07,60.97249628
BELET,-19.631876,101.5192321,6248.577951,3.00E-05,2.88E-07,104.2591705
BELET,-19.631876,102.0755018,6871.806574,3.30E-05,2.33E-07,141.8370711
BELET,-19.631876,102.6317715,9756.927084,5.46E-05,1.06E-07,514.7785962
BELET,-19.631876,103.1880412,6859.388552,2.74E-05,2.33E-07,117.5074508
BELET,-19.631876,103.7443109,5466.441308,3.50E-05,3.88E-07,90.16340631
BELET,-19.631876,104.3005806,3599.599221,2.88E-05,9.88E-07,29.14031325
SHANGRILA,-19.631876,156.0336631,4284.100374,4.61E-05,6.69E-07,68.93094552
SHANGRILA,-19.631876,156.5899328,7371.712955,3.89E-05,1.99E-07,195.5157954
SHANGRILA,-19.631876,157.1462025,7950.868056,6.91E-05,1.68E-07,411.7235081
SHANGRILA,-19.631876,157.7024722,7550.054959,2.96E-05,1.88E-07,157.2575284
SHANGRILA,-19.631876,188.2973059,4342.755982,1.36E-05,6.49E-07,20.86946128
SHANGRILA,-19.631876,194.9725424,2832.098605,1.45E-05,1.69E-06,8.59872989
SHANGRILA,-19.631876,195.5288121,3618.360686,1.45E-05,9.77E-07,14.81745278
SHANGRILA,-19.631876,196.0850818,4292.22136,3.09E-05,6.67E-07,46.36307592
FENSAL,-19.631876,317.908147,3337.114201,8.00E-06,1.17E-06,6.841581258
FENSAL,-19.631876,318.4644167,4177.973748,6.70E-06,7.08E-07,9.441214511
SENKYO,-19.0756073,19.74758562,3576.588818,2.90E-06,1.00E-06,2.854153527
SENKYO,-19.0756073,20.30385532,4099.52768,9.80E-06,7.39E-07,13.31890152
BELET,-19.0756073,99.29415329,13894.76567,6.06E-05,4.81E-08,1258.675829
BELET,-19.0756073,99.850423,5666.954066,5.50E-06,3.58E-07,15.31429959
BELET,-19.0756073,100.4066927,6074.319222,1.40E-05,3.06E-07,45.63532399
BELET,-19.0756073,100.9629624,8912.783087,3.33E-05,1.30E-07,255.9971429
BELET,-19.0756073,101.5192321,7295.804042,2.33E-05,2.03E-07,114.7838387
BELET,-19.0756073,102.0755018,4169.75025,3.00E-05,7.11E-07,42.21532895
BELET,-19.0756073,102.6317715,4333.18299,2.08E-05,6.53E-07,31.87391453
BELET,-19.0756073,103.1880412,4944.388045,4.35E-05,4.86E-07,89.578435
BELET,-19.0756073,103.7443109,6105.709331,4.40E-05,3.03E-07,145.105747
BELET,-19.0756073,104.3005806,13768.03754,8.13E-05,4.91E-08,1654.700839
SHANGRILA,-19.0756073,155.4773934,3566.639627,3.77E-05,1.01E-06,37.33335368
SHANGRILA,-19.0756073,156.0336631,9272.109839,5.03E-05,1.19E-07,422.7636352
SHANGRILA,-19.0756073,156.5899328,5425.919859,3.29E-05,3.95E-07,83.40835095
SHANGRILA,-19.0756073,157.1462025,3904.932681,4.23E-05,8.24E-07,51.35188595
SHANGRILA,-19.0756073,194.9725424,2659.727395,9.70E-06,1.94E-06,4.965158841
SHANGRILA,-19.0756073,195.5288121,3720.881814,1.49E-05,9.18E-07,16.22024547
SHANGRILA,-19.0756073,196.0850818,3557.980025,1.99E-05,1.01E-06,19.64449125
FENSAL,-19.0756073,317.908147,4123.355912,6.60E-06,7.29E-07,9.04744479
FENSAL,-19.0756073,318.4644167,5501.684196,1.32E-05,3.82E-07,34.52211184
FENSAL,-19.0756073,319.0206864,5363.215484,2.57E-05,4.05E-07,63.57507743
SENKYO,-18.5193367,19.74758562,4022.846615,1.61E-05,7.71E-07,20.88182808
BELET,-18.5193367,100.4066927,1381.249648,0.0002414,8.43E-06,28.64830946
BELET,-18.5193367,100.9629624,8918.39397,9.30E-06,1.30E-07,71.47543425
